index,AGS
532,01057067
533,01057068
534,01057069
535,01057070
536,01057071
537,01057072
538,01057073
539,01057074
540,01057076
541,01057077
542,01057078
543,01057079
544,01057080
545,01057081
546,01057082
547,01057083
548,01057084
549,01057085
550,01057086
551,01057087
552,01057088
553,01057089
554,01057090
555,01057091
556,01058001
557,01058003
558,01058004
559,01058005
560,01058007
561,01058008
562,01058009
563,01058010
564,01058011
565,01058012
566,01058013
567,01058014
568,01058015
569,01058016
570,01058018
571,01058019
572,01058021
573,01058022
574,01058023
575,01058024
576,01058025
577,01058026
578,01058027
579,01058028
580,01058029
581,01058030
582,01058031
583,01058032
584,01058033
585,01058034
586,01058035
587,01058036
588,01058037
589,01058038
590,01058039
591,01058040
592,01058042
593,01058043
594,01058044
595,01058045
596,01058046
597,01058047
598,01058048
599,01058049
600,01058050
601,01058051
602,01058052
603,01058053
604,01058054
605,01058055
606,01058056
607,01058057
608,01058058
609,01058059
610,01058061
611,01058062
612,01058063
613,01058064
614,01058065
615,01058066
616,01058067
617,01058068
618,01058069
619,01058070
620,01058071
621,01058072
622,01058073
623,01058074
624,01058075
625,01058076
626,01058077
627,01058078
628,01058080
629,01058081
630,01058082
631,01058083
632,01058084
633,01058085
634,01058086
635,01058087
636,01058088
637,01058089
638,01058090
639,01058091
640,01058092
641,01058093
642,01058094
643,01058096
644,01058097
645,01058098
646,01058099
647,01058100
648,01058101
649,01058102
650,01058103
651,01058104
652,01058105
653,01058106
654,01058107
655,01058108
656,01058109
657,01058110
658,01058111
659,01058112
660,01058113
661,01058115
662,01058116
663,01058117
664,01058118
665,01058119
666,01058120
667,01058121
668,01058122
669,01058123
670,01058124
671,01058125
672,01058126
673,01058127
674,01058128
675,01058129
676,01058130
677,01058131
678,01058132
679,01058133
680,01058134
681,01058135
682,01058136
683,01058137
684,01058138
685,01058139
686,01058140
687,01058141
688,01058142
689,01058143
690,01058144
691,01058145
692,01058146
693,01058147
694,01058148
695,01058150
696,01058151
697,01058152
698,01058153
699,01058154
700,01058155
701,01058156
702,01058157
703,01058158
704,01058159
705,01058160
706,01058161
707,01058162
708,01058163
709,01058164
710,01058165
711,01058166
712,01058167
713,01058168
714,01058169
715,01058170
716,01058171
717,01058172
718,01058173
719,01058174
720,01058175
721,01059001
722,01059002
723,01059005
724,01059006
725,01059008
726,01059009
727,01059010
728,01059012
729,01059014
730,01059016
731,01059018
732,01059019
733,01059020
734,01059021
735,01059023
736,01059024
737,01059026
738,01059032
739,01059033
740,01059034
741,01059035
742,01059037
743,01059039
744,01059041
745,01059042
746,01059043
747,01059044
748,01059045
749,01059049
750,01059050
751,01059051
752,01059053
753,01059055
754,01059056
755,01059057
756,01059058
757,01059060
758,01059062
759,01059063
760,01059064
761,01059065
762,01059067
763,01059068
764,01059070
765,01059072
766,01059073
767,01059074
768,01059075
769,01059076
770,01059077
771,01059078
772,01059079
773,01059080
774,01059081
775,01059082
776,01059083
777,01059084
778,01059085
779,01059086
780,01059087
781,01059088
782,01059090
783,01059092
784,01059093
785,01059094
786,01059095
787,01059096
788,01059097
789,01059098
790,01059101
791,01059102
792,01059103
793,01059105
794,01059106
795,01059107
796,01059109
797,01059112
798,01059113
799,01059115
800,01059116
801,01059118
802,01059120
803,01059121
804,01059123
805,01059124
806,01059126
807,01059127
808,01059128
809,01059129
810,01059131
811,01059132
812,01059136
813,01059137
814,01059138
815,01059141
816,01059142
817,01059143
818,01059144
819,01059145
820,01059147
821,01059148
822,01059149
823,01059151
824,01059152
825,01059154
826,01059155
827,01059157
828,01059158
829,01059159
830,01059161
831,01059162
832,01059163
833,01059164
834,01059167
835,01059168
836,01059169
837,01059171
838,01059173
839,01059174
840,01059176
841,01059177
842,01059178
843,01059179
844,01059182
845,01059183
846,01059184
847,01059185
848,01059186
849,01059187
850,01060002
851,01060003
852,01060004
853,01060005
854,01060006
855,01060007
856,01060008
857,01060009
858,01060010
859,01060011
860,01060012
861,01060013
862,01060014
863,01060015
864,01060016
865,01060017
866,01060018
867,01060019
