index,AGS
0,01001
1,01002
2,01003
3,01004
4,01051
5,01053
6,01054
7,01055
8,01056
9,01057
10,01058
11,01059
12,01060
13,01061
14,01062
15,02000
16,03101
17,03102
18,03103
19,03151
20,03152
21,03153
22,03154
23,03155
24,03156
25,03157
26,03158
27,03241
28,03251
29,03252
30,03254
31,03255
32,03256
33,03257
34,03351
35,03352
36,03353
37,03354
38,03355
39,03356
40,03357
41,03358
42,03359
43,03360
44,03361
45,03401
46,03402
47,03403
48,03404
49,03405
50,03451
51,03452
52,03453
53,03454
54,03455
55,03456
56,03457
57,03458
58,03460
59,03461
60,03462
61,04011
62,04012
63,05111
64,05112
65,05113
66,05114
67,05116
68,05117
69,05119
70,05120
71,05122
72,05124
73,05154
74,05158
75,05162
76,05166
77,05170
78,05314
79,05315
80,05316
81,05334
82,05358
83,05362
84,05366
85,05370
86,05374
87,05378
88,05382
89,05512
90,05513
91,05515
92,05554
93,05558
94,05562
95,05566
96,05570
97,05711
98,05754
99,05758
100,05762
101,05766
102,05770
103,05774
104,05911
105,05913
106,05914
107,05915
108,05916
109,05954
110,05958
111,05962
112,05966
113,05970
114,05974
115,05978
116,06411
117,06412
118,06413
119,06414
120,06431
121,06433
122,06434
123,06435
124,06436
125,06437
126,06438
127,06439
128,06440
129,06531
130,06532
131,06533
132,06534
133,06535
134,06611
135,06631
136,06632
137,06634
138,06635
139,06636
140,07111
141,07131
142,07132
143,07133
144,07134
145,07135
146,07138
147,07140
148,07141
149,07143
150,07231
151,07232
152,07233
153,07235
154,07311
155,07313
156,07314
157,07315
158,07316
159,07318
160,07319
161,07320
162,07331
163,07332
164,07333
165,07334
166,07335
167,07336
168,07339
169,07340
170,08111
171,08115
172,08116
173,08117
174,08118
175,08119
176,08121
177,08126
178,08127
179,08128
180,08135
181,08136
182,08211
183,08215
184,08216
185,08221
186,08222
187,08225
188,08231
189,08235
190,08237
191,08315
192,08316
193,08317
194,08325
195,08326
196,08327
197,08335
198,08336
199,08337
200,08415
201,08416
202,08417
203,08421
204,08426
205,08435
206,08436
207,08437
208,09161
209,09171
210,09172
211,09173
212,09174
213,09175
214,09176
215,09177
216,09178
217,09179
218,09180
219,09181
220,09182
221,09183
222,09184
223,09185
224,09186
225,09187
226,09188
227,09189
228,09190
229,09261
230,09263
231,09271
232,09272
233,09273
234,09275
235,09276
236,09277
237,09279
238,09361
239,09363
240,09372
241,09373
242,09374
243,09375
244,09376
245,09377
246,09461
247,09462
248,09463
249,09474
250,09475
251,09476
252,09477
253,09478
254,09479
255,09561
256,09563
257,09564
258,09565
259,09572
260,09573
261,09574
262,09575
263,09576
264,09577
265,09661
266,09662
267,09663
268,09672
269,09673
270,09674
271,09675
272,09676
273,09677
274,09761
275,09762
276,09763
277,09764
278,09771
279,09773
280,09774
281,09775
282,09776
283,09777
284,09778
285,09779
286,09780
287,10041
288,10042
289,10043
290,10044
291,10045
292,10046
293,11000
294,12051
295,12052
296,12053
297,12054
298,12060
299,12061
300,12062
301,12063
302,12064
303,12065
304,12066
305,12067
306,12068
307,12069
308,12070
309,12071
310,12072
311,12073
312,13003
313,13004
314,13071
315,13072
316,13073
317,13074
318,13075
319,13076
320,14511
321,14521
322,14522
323,14523
324,14524
325,14612
326,14625
327,14626
328,14627
329,14628
330,14713
331,14729
332,14730
333,15001
334,15002
335,15003
336,15081
337,15082
338,15083
339,15084
340,15085
341,15086
342,15087
343,15088
344,15089
345,15090
346,15091
347,16051
348,16052
349,16053
350,16054
351,16055
352,16056
353,16061
354,16062
355,16063
356,16064
357,16065
358,16066
359,16067
360,16068
361,16069
362,16070
363,16071
364,16072
365,16073
366,16074
367,16075
368,16076
369,16077
